禁止 | kinshi | Cấm chỉ | Cấm | Prohibition | 立入禁止の 看板の 前で、彼は [禁止された 理由を 悲しげに] 語った。~さびしげ | Trước tấm biển cấm vào, anh ấy đã kể về lý do bị cấm đoán với vẻ mặt buồn bã. | In front of the "No Entry" sign, he talked about the reason for the prohibition with a sad look. | そのような様子に見える。 | Diễn tả vẻ bề ngoài hoặc cảm xúc (Vẻ.../Có vẻ...). | Indicates an appearance or emotion based on observation. | Tuần_1_Ngày_1_N2
禁煙 | kinen | Cấm yên | Cấm hút thuốc | No smoking | 禁煙の 約束を したのに、仕事が 忙しくなると [つい 吸い勝ちだ]。~病気がち | Dù đã hứa cấm hút thuốc nhưng hễ công việc bận rộn là tôi lại thường hay lỡ hút. | Despite my promise to quit, I tend to smoke when work gets busy. | ~の状態になることが多い。 | Thường hay (có xu hướng xấu, tiêu cực). | Tendency to happen often (usually negative). | Tuần_1_Ngày_1_N2
煙 | kemuri | Yên | Khói | Smoke | 彼は 部屋に 煙が 満ちているのに 気づかないほど、[何事も 忘れっぽい]。~忘れっぽい | Anh ta hay quên mọi thứ đến mức không nhận ra khói đang tràn ngập trong phòng. | He is so forgetful that he didn't notice the room filling with smoke. | よく~する。 | Hay... (tính chất hoặc đặc điểm không tốt). | Prone to... / Often does... (negative trait). | Tuần_1_Ngày_1_N2
安静 | ansei | An tĩnh | Tĩnh dưỡng | Quiet rest | 最近は [疲れ気味なので 安静に] している。~疲れ気味 | Vì dạo này có vẻ hơi mệt nên tôi đang tĩnh dưỡng. | I've been feeling a bit tired lately, so I'm resting quietly. | 少し~の感じがある。 | Có vẻ hơi... (cảm giác cơ thể/tâm trạng). | A slight feeling of... (physical or mental state). | Tuần_1_Ngày_1_N2
静か [な] | shizuka | Tĩnh | Yên tĩnh | Quiet | あの [静かな 村へ 帰れるものなら]、今すぐ 全てを 捨てて 帰りたいpuff。~帰れるものなら | Nếu mà có thể trở về ngôi làng yên tĩnh đó, tôi muốn vứt bỏ tất cả để về ngay bây giờ. | If I could return to that quiet village, I'd want to drop everything and go back right now. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_1_N2
静まる [自] | shizumaru | Tĩnh | Lắng xuống | To quiet down | 会場が [静まったものだから]、彼の 声が よく 聞こえた。~暑いものだから | Bởi vì hội trường đã lắng xuống nên giọng của anh ấy nghe rất rõ. | Because the venue had quieted down, his voice could be heard clearly. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_1_N2
危機 | kiki | Nguy cơ | Khủng hoảng | Crisis | 会社が [危機なのだもの]、休んでいる 場合ではない。~知らなかったんだもの | Tại vì công ty đang trong cơn khủng hoảng mà, không phải lúc để nghỉ ngơi đâu. | Because the company is in a crisis, it's not the time to be resting. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_1_N2
危ない [い] | abunai | Nguy | Nguy hiểm | Dangerous | [危ないと 分かっているものの]、彼は 挑戦を 止めなかった。~持っているものの | Mặc dù biết là nguy hiểm, anh ấy vẫn không ngừng thử thách. | Although he knew it was dangerous, he did not stop challenging himself. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_1_N2
危うい [い] | ayaui | Nguy | Nguy kịch | Critical | 命が [危ういのは もとより]、家族も 全員 怪我を した。~車はもとより自転車も | Tính mạng nguy kịch là đương nhiên, mà cả gia đình cũng đều bị thương. | Not only is his life in danger, but all of his family members are also injured. | ~はもちろん~も。 | ...là đương nhiên, và còn... nữa. | Not only... but also... / Needless to say. | Tuần_1_Ngày_1_N2
危険 [な] | kiken | Nguy hiểm | Nguy hiểm | Dangerous | 実験が [危険かは ともかく]、まずは 準備を 始めよう。~見た目はともかく味は | Khoan bàn đến việc thí nghiệm có nguy hiểm hay không, trước hết hãy bắt đầu chuẩn bị đã. | Setting aside whether it's dangerous or not, let's start preparing first. | ~は別として。 | Khoan hãy bàn đến... / Chưa nói đến... | Setting aside... / Regardless of... | Tuần_1_Ngày_1_N2
険しい [い] | kewashii | Hiểm | Hiểm trở | Rugged/Steep | 平らな 道なら [まだしも、険しい 山道] を 歩くのは 疲れる。~旅行はまだしも | Nếu là đường bằng phẳng thì còn được, chứ đi bộ trên đường núi hiểm trở thì mệt lắm. | A flat road is one thing, but walking on a rugged mountain path is exhausting. | ~ならまだいいが。 | Nếu là... thì còn được (nhưng cái khác thì không). | ...would be acceptable, but... | Tuần_1_Ngày_1_N2
